date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:36:46	5845/5845	---M--	200	added ('OK')	text/html	date:Fri,%2001%20May%202020%2007:36:45%20GMT	https://www.gitedupavillon.fr/Home/Book?lang=fr	www.gitedupavillon.fr/Home/Booke68f.html	(from https://www.gitedupavillon.fr/en/Home/Book)
09:36:48	138/138	---M--	302	error ('Found')	text/html	date:Fri,%2001%20May%202020%2007:36:48%20GMT	https://www.gitedupavillon.fr/Home/RedirectLanguage?act=Contact&lang=fr	www.gitedupavillon.fr/Home/RedirectLanguage.28c380.delayed	(from https://www.gitedupavillon.fr/en/Home/Contact)
09:36:50	3741/3741	---M--	200	added ('OK')	text/html	date:Fri,%2001%20May%202020%2007:36:49%20GMT	https://www.gitedupavillon.fr/Home/Contact?lang=fr	www.gitedupavillon.fr/Home/Contacte68f.html	(from https://www.gitedupavillon.fr/en/Home/Contact)
09:36:51	135/135	---M--	302	error ('Found')	text/html	date:Fri,%2001%20May%202020%2007:36:51%20GMT	https://www.gitedupavillon.fr/Home/RedirectLanguage?act=News&lang=fr	www.gitedupavillon.fr/Home/RedirectLanguage.2abf64.delayed	(from https://www.gitedupavillon.fr/en/Home/News)
09:36:55	4630/4630	---M--	200	added ('OK')	text/html	date:Fri,%2001%20May%202020%2007:36:55%20GMT	https://www.gitedupavillon.fr/Home/News?lang=fr	www.gitedupavillon.fr/Home/Newse68f.html	(from https://www.gitedupavillon.fr/en/Home/News)
09:36:56	163/163	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2001%20May%202020%2007:36:55%20GMT	http://www.gitedupavillon.fr/Home/Error	www.gitedupavillon.fr/Home/Error.2c.delayed	(from https://www.gitedupavillon.fr/Home/Error?aspxerrorpath=/bundles/GET)
09:36:58	3546/3546	---M--	200	added ('OK')	text/html	date:Fri,%2001%20May%202020%2007:36:57%20GMT	https://www.gitedupavillon.fr/Home/Error	www.gitedupavillon.fr/Home/Error.html	(from https://www.gitedupavillon.fr/Home/Error?aspxerrorpath=/bundles/GET)
09:36:58	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2001%20May%202020%2007:36:58%20GMT	http://www.gitedupavillon.fr/en/Home/Error	www.gitedupavillon.fr/en/Home/Error.2e.delayed	(from https://www.gitedupavillon.fr/Home/Error?aspxerrorpath=/bundles/GET)
09:37:03	3547/3547	---M--	200	added ('OK')	text/html	date:Fri,%2001%20May%202020%2007:37:02%20GMT	https://www.gitedupavillon.fr/en/Home/Error	www.gitedupavillon.fr/en/Home/Error.html	(from https://www.gitedupavillon.fr/Home/Error?aspxerrorpath=/bundles/GET)
09:37:06	131/131	---M--	302	error ('Found')	text/html	date:Fri,%2001%20May%202020%2007:37:02%20GMT	https://www.gitedupavillon.fr/en/Home/RedirectLanguage?act=Error	www.gitedupavillon.fr/en/Home/RedirectLanguage.303e14.delayed	(from https://www.gitedupavillon.fr/Home/Error?aspxerrorpath=/bundles/GET)
09:37:06	0/-1	---M--	302	error ('')			https://www.gitedupavillon.fr/en/Home/RedirectLanguage?act=Pictures	www.gitedupavillon.fr/en/Home/RedirectLanguage.3106c4.delayed	(from https://www.gitedupavillon.fr/Home/Pictures?lang=fr)
09:37:06	0/-1	---M--	302	error ('')			https://www.gitedupavillon.fr/en/Home/RedirectLanguage?act=Book	www.gitedupavillon.fr/en/Home/RedirectLanguage.321d44.delayed	(from https://www.gitedupavillon.fr/Home/Book?lang=fr)
09:37:06	0/-1	---M--	302	error ('')			https://www.gitedupavillon.fr/en/Home/RedirectLanguage?act=Contact	www.gitedupavillon.fr/en/Home/RedirectLanguage.338e55.delayed	(from https://www.gitedupavillon.fr/Home/Contact?lang=fr)
09:37:06	0/-1	---M--	302	error ('')			https://www.gitedupavillon.fr/en/Home/RedirectLanguage?act=News	www.gitedupavillon.fr/en/Home/RedirectLanguage.34c7c9.delayed	(from https://www.gitedupavillon.fr/Home/News?lang=fr)
09:37:06	0/-1	---M--	302	error ('')			https://www.gitedupavillon.fr/en/Home/RedirectLanguage?act=Error	www.gitedupavillon.fr/en/Home/RedirectLanguage.353e14.delayed	(from https://www.gitedupavillon.fr/Home/Error)
09:37:10	136/136	---M--	302	error ('Found')	text/html	date:Fri,%2001%20May%202020%2007:37:09%20GMT	https://www.gitedupavillon.fr/Home/RedirectLanguage?act=Error&lang=fr	www.gitedupavillon.fr/Home/RedirectLanguage.36ab1a.delayed	(from https://www.gitedupavillon.fr/en/Home/Error)
09:37:10	3546/3546	---M--	200	added ('OK')	text/html	date:Fri,%2001%20May%202020%2007:37:09%20GMT	https://www.gitedupavillon.fr/Home/Error?lang=fr	www.gitedupavillon.fr/Home/Errore68f.html	(from https://www.gitedupavillon.fr/en/Home/Error)
09:37:11	0/-1	---M--	302	error ('')			https://www.gitedupavillon.fr/en/Home/RedirectLanguage?act=Error	www.gitedupavillon.fr/en/Home/RedirectLanguage.383e14.delayed	(from https://www.gitedupavillon.fr/Home/Error?lang=fr)
